Method Name,Flow ID,Flow Name,Category,Subcategory,Unit,Impact Factor
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",994,"1,4-Butanediol",air,non-urban air or from high stacks,kilogram,0.814
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",995,"1,4-Butanediol",air,"low population density, long-term",kilogram,0.814
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1,"1,4-Butanediol",air,urban air close to ground,kilogram,0.858
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",996,"1,4-Butanediol",air,lower stratosphere + upper troposphere,kilogram,0.814
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2424,"1,4-Butanediol",water,,kilogram,7.31
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2422,"1,4-Butanediol",water,ocean,kilogram,1.19e-06
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2423,"1,4-Butanediol",water,surface water,kilogram,7.31
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2420,"1,4-Butanediol",water,ground-,kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2421,"1,4-Butanediol",water,"ground-, long-term",kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1001,1-Pentanol,air,,kilogram,0.193
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",998,1-Pentanol,air,non-urban air or from high stacks,kilogram,0.192
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",999,1-Pentanol,air,"low population density, long-term",kilogram,0.192
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2,1-Pentanol,air,urban air close to ground,kilogram,0.194
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1000,1-Pentanol,air,lower stratosphere + upper troposphere,kilogram,0.192
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2429,1-Pentanol,water,,kilogram,15.6
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2427,1-Pentanol,water,ocean,kilogram,0.00226
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2428,1-Pentanol,water,surface water,kilogram,15.6
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2425,1-Pentanol,water,ground-,kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",2426,1-Pentanol,water,"ground-, long-term",kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",3676,"2,4-D",air,non-urban air or from high stacks,kilogram,28.7
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",4,"2,4-D",soil,agricultural,kilogram,27.5
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",3983,"2,4-D amines",air,non-urban air or from high stacks,kilogram,402.0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",3984,"2,4-D amines",soil,agricultural,kilogram,541.0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",3986,"2,4-D amines",water,surface water,kilogram,1280.0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",3985,"2,4-D amines",water,ground-,kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",3992,"2,4-D ester",air,non-urban air or from high stacks,kilogram,221.0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",3991,"2,4-D ester",soil,agricultural,kilogram,70.8
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",3994,"2,4-D ester",water,surface water,kilogram,15400.0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",3993,"2,4-D ester",water,ground-,kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",3934,"2,4-DB",air,non-urban air or from high stacks,kilogram,28.2
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",3935,"2,4-DB",soil,agricultural,kilogram,33.7
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",3937,"2,4-DB",water,surface water,kilogram,1380.0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",3936,"2,4-DB",water,ground-,kilogram,0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",4062,"2-Amino-3-chloro-1,4-naphthoquinone",soil,agricultural,kilogram,1210.0
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1009,2-Aminopropanol,air,,kilogram,0.946
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1006,2-Aminopropanol,air,non-urban air or from high stacks,kilogram,0.551
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1007,2-Aminopropanol,air,"low population density, long-term",kilogram,0.551
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",5,2-Aminopropanol,air,urban air close to ground,kilogram,1.34
"('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Freshwater ecotoxicity')",1008,2-Aminopropanol,air,lower stratosphere + upper troposphere,kilogram,0.551
