Method Name,Type,Category,Flow ID,Flow Name,Category.1,Subcategory,Unit,Impact Factor
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),623,"Phenol, pentachloro-",air,urban air close to ground,kilogram,1.30632159776957e-08
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),1896,"Phenol, pentachloro-",air,lower stratosphere + upper troposphere,kilogram,6.84581893048856e-08
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3845,"Phenol, pentachloro-",soil,,kilogram,8.693740720424109e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),4189,"Phenol, pentachloro-",soil,agricultural,kilogram,5.07955039691815e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),624,Phorate,soil,agricultural,kilogram,8.56382250762844e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),4156,Phosalone,soil,agricultural,kilogram,2.2979024819371098e-12
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),625,Phosmet,soil,agricultural,kilogram,3.2826182006831298e-12
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3287,"Phthalate, butyl-benzyl-",water,,kilogram,6.573015120089979e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3285,"Phthalate, butyl-benzyl-",water,ocean,kilogram,1.0385430791543598e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3286,"Phthalate, butyl-benzyl-",water,surface water,kilogram,1.2107487161025601e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),633,"Phthalate, butyl-benzyl-",water,ground-,kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3284,"Phthalate, butyl-benzyl-",water,"ground-, long-term",kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3291,"Phthalate, dibutyl-",water,,kilogram,8.58726022668494e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3289,"Phthalate, dibutyl-",water,ocean,kilogram,1.31342886577106e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3290,"Phthalate, dibutyl-",water,surface water,kilogram,1.58610915875988e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),634,"Phthalate, dibutyl-",water,ground-,kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3288,"Phthalate, dibutyl-",water,"ground-, long-term",kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3299,"Phthalate, dioctyl-",water,,kilogram,7.59862190188618e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3297,"Phthalate, dioctyl-",water,ocean,kilogram,3.52797666804215e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3298,"Phthalate, dioctyl-",water,surface water,kilogram,1.16692671357302e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),636,"Phthalate, dioctyl-",water,ground-,kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3296,"Phthalate, dioctyl-",water,"ground-, long-term",kilogram,0.0
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),637,Picloram,soil,agricultural,kilogram,4.8447955157204394e-12
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),639,Piperonyl butoxide,soil,agricultural,kilogram,5.3828933547521904e-14
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),640,Pirimicarb,soil,agricultural,kilogram,3.73569595675582e-12
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),4007,Pirimiphos methyl,soil,agricultural,kilogram,4.5395061622474296e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),654,Prochloraz,soil,agricultural,kilogram,1.0469635544339901e-10
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),655,Procymidone,soil,agricultural,kilogram,1.1030395932109102e-09
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),656,Profenofos,soil,agricultural,kilogram,9.33182570369755e-12
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),659,Prometryn,soil,agricultural,kilogram,2.76777176150982e-12
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),660,Pronamide,soil,agricultural,kilogram,8.114911010298319e-12
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),3745,Propachlor,soil,agricultural,kilogram,2.0860482595836797e-11
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),4159,Propamocarb,soil,agricultural,kilogram,3.0029255380587704e-15
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),664,Propanil,soil,agricultural,kilogram,2.4332113722891e-13
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),667,Propargite,soil,agricultural,kilogram,3.33591941449043e-12
('IMPACT World+ Midpoint 2.0', 'Midpoint', 'Human toxicity non-cancer'),4160,Propham,soil,agricultural,kilogram,1.11562980639891e-11
